word	pronunciation
սարկավագ	s ɑ ɾ k ɑ ˈ v ɑ ɡ
Սարկիսյան	s ɑ ɾ k i ˈ s j ɑ n
Սարմազյան	s ɑ ɾ m ɑ ˈ z j ɑ n
սարյակ	s ɑ ˈ ɾ j ɑ k
Սարո	s ɑ ˈ ɾ o
Սարոյան	s ɑ ɾ o ˈ j ɑ n
սարսափ	s ɑ ɾ ˈ s ɑ p ʰ
սարսափագին	s ɑ ɾ s ɑ p ʰ ɑ ˈ ɡ i n
սարսափազդեցիկ	s ɑ ɾ s ɑ p ʰ ɑ z d e ˈ t ͡ s ʰ i k
սարսափազդու	s ɑ ɾ s ɑ p ʰ ɑ z ˈ d u
սարսափալից	s ɑ ɾ s ɑ p ʰ ɑ ˈ l i t ͡ s ʰ
սարսափախառն	s ɑ ɾ s ɑ p ʰ ɑ ˈ χ ɑ r ə n
սարսափածին	s ɑ ɾ s ɑ p ʰ ɑ ˈ t ͡ s i n
սարսափահար	s ɑ ɾ s ɑ p ʰ ɑ ˈ h ɑ ɾ
սարսափահարել	s ɑ ɾ s ɑ p ʰ ɑ h ɑ ˈ ɾ e l
սարսափահարվել	s ɑ ɾ s ɑ p ʰ ɑ h ɑ ɾ ˈ v e l
սարսափահարություն	s ɑ ɾ s ɑ p ʰ ɑ h ɑ ɾ u ˈ t ʰ j u n
սարսափանք	s ɑ ɾ s ɑ ˈ p ʰ ɑ n k ʰ
սարսափել	s ɑ ɾ s ɑ ˈ p ʰ e l
սարսափելի	s ɑ ɾ s ɑ p ʰ e ˈ l i
սարսափելիություն	s ɑ ɾ s ɑ p ʰ e l i u ˈ t ʰ j u n
սարսափեցնել	s ɑ ɾ s ɑ p ʰ e t ͡ s ʰ ˈ n e l
սարսափեցնող	s ɑ ɾ s ɑ p ʰ e t ͡ s ʰ ˈ n o ʁ
սարսափեցում	s ɑ ɾ s ɑ p ʰ e ˈ t ͡ s ʰ u m
սարսափեցուցիչ	s ɑ ɾ s ɑ p ʰ e t ͡ s ʰ u ˈ t ͡ s ʰ i t ͡ ʃ ʰ
սարսափում	s ɑ ɾ s ɑ ˈ p ʰ u m
սարսափուն	s ɑ ɾ s ɑ ˈ p ʰ u n
սարսուռ	s ɑ ɾ ˈ s u r
Սարում	s ɑ ˈ ɾ u m
Սարումյան	s ɑ ɾ u ˈ m j ɑ n
սարք	s ɑ ɾ k ʰ
սարքավորում	s ɑ ɾ k ʰ ɑ v o ˈ ɾ u m
սարքել	s ɑ ɾ ˈ k ʰ e l
սացիվի	s ɑ ˈ t ͡ s ʰ i v i
Սաուդյան Արաբիա	s ɑ u ˈ d j ɑ n   ɑ ˈ ɾ ɑ b i ɑ
սաունա	s ɑ u ˈ n ɑ
սափոր	s ɑ ˈ p ʰ o ɾ
սափրել	s ɑ p ʰ ˈ ɾ e l
սափրիչ	s ɑ p ʰ ˈ ɾ i t ͡ ʃ ʰ
սափրվել	s ɑ p ʰ ə ɾ ˈ v e l
Սաքսոնիա	s ɑ k ʰ ˈ s o n i ɑ
սաքսոֆոն	s ɑ k ʰ s o ˈ f o n
Սաֆարյան	s ɑ f ɑ ˈ ɾ j ɑ n
Սաֆո	s ɑ ˈ f o
սգալ	s ə ˈ k ʰ ɑ l
ՍԴ	s ə ˈ d ə
սե	s e
Սեբեոս	s e b e ˈ o s
սեգ	s e ɡ
Սեդա	s e ˈ d ɑ
Սեդրակ	s e t ʰ ˈ ɾ ɑ k
Սեդրակյան	s e t ʰ ɾ ɑ ˈ k j ɑ n
սեզ	s e z
սեզոն	s e ˈ z o n
Սեթ	s e t ʰ
սել	s e l
սելավ	s e ˈ l ɑ f
սելեն	s e ˈ l e n
Սելևկիա	s e l e f k i ˈ ɑ
սելջուկ	s e l ˈ d ͡ ʒ u k
սելջուկյան	s e l d ͡ ʒ u ˈ k j ɑ n
սեխ	s e χ
սեկվոյա	s e k v o ˈ j ɑ
սեղան	s e ˈ ʁ ɑ n
սեղանապետ	s e ʁ ɑ n ɑ ˈ p e t
սեղանատամ	s e ʁ ɑ n ɑ ˈ t ɑ m
սեղանատուն	s e ʁ ɑ n ɑ ˈ t u n
սեղանի թենիս	s e ʁ ɑ ˈ n i   t ʰ e ˈ n i s
սեղմ	s e ʁ m
սեղմագիր	s e ʁ m ɑ ˈ ɡ i ɾ
սեղմակ	s e ʁ ˈ m ɑ k
սեղմասկավառակ	s e ʁ m ɑ s k ɑ v ɑ ˈ r ɑ k
սեղմել	s e ʁ ˈ m e l
սեղմիչ	s e ʁ ˈ m i t ͡ ʃ ʰ
սեղմիրան	s e ʁ m i ˈ ɾ ɑ n
սեմ	s e m
սեմական	s e m ɑ ˈ k ɑ n
Սեմբավանգ	s e m b ɑ ˈ v ɑ n ɡ
Սեմերճյան	s e m e ɾ ˈ t ͡ ʃ j ɑ n
Սեմերջյան	s e m e ɾ ˈ d ͡ ʒ j ɑ n
սեմուշկա	s e m u ʃ ˈ k ɑ
սեյլան	s e j ˈ l ɑ n
Սեյրան	s e j ˈ ɾ ɑ n
Սեն	s e n
սենատ	s e ˈ n ɑ t
սենդվիչ	s e n d ˈ v i t ͡ ʃ ʰ
Սենեգալ	s e n e ˈ ɡ ɑ l
Սենեքերիմ	s e n e k ʰ e ˈ ɾ i m
սենյակ	s e ˈ n j ɑ k
սենյորություն	s e n j o ɾ u ˈ t ʰ j u n
Սենտ Ջորջես	s e n t   ˈ d ͡ ʒ o ɾ d ͡ ʒ e s
սենց	s e n t ͡ s ʰ
սեպ	s e p
սեպագիր	s e p ɑ ˈ ɡ i ɾ
սեպտեմբեր	s e p t e m ˈ b e ɾ
սեպտեմբերյան	s e p t e m b e ˈ ɾ j ɑ n
Սեպուհ	s e ˈ p u h
սեպուհ	s e ˈ p u h
սեռ	s e r
սեռական	s e r ɑ ˈ k ɑ n
սեռական բջիջ	s e r ɑ ˈ k ɑ n   b ə ˈ d ͡ ʒ i d ͡ ʒ
սեռական կողմնորոշում	s e r ɑ ˈ k ɑ n   k o ʁ m n o ɾ o ˈ ʃ u m
սեռական հոլով	s e r ɑ ˈ k ɑ n   h o ˈ l o v
սեռական օրգան	s e r ɑ ˈ k ɑ n   o ɾ ˈ ɡ ɑ n
սեռանիշ	s e r ɑ ˈ n i ʃ
սեռի	s e ˈ r i
սեսիա	ˈ s e s i ɑ
սև	s e v
սև բիբար	s e v   b i ˈ b ɑ ɾ
սև խոռոչ	s e v   χ o ˈ r o t ͡ ʃ ʰ
Սև ծով	s e v   t ͡ s o v
սև կեռնեխ	s e v   k e r ˈ n e χ
սև ցուցակ	s e v   t ͡ s ʰ u ˈ t ͡ s ʰ ɑ k
Սևադա	s e v ɑ ˈ d ɑ
Սևակ	s e ˈ v ɑ k
սևական	s e v ɑ ˈ k ɑ n
սևամաղձ	s e v ɑ ˈ m ɑ ʁ d ͡ z
սևամորթ	s e v ɑ ˈ m o ɾ t ʰ
Սևան	s e ˈ v ɑ n
Սևանա	s e v ɑ ˈ n ɑ
Սևաստոպոլ	s e v ɑ s t o ˈ p o l
սևավուն	s e v ɑ ˈ v u n
Սեուլ	s e ˈ u l
Սևր	ˈ s e v ə ɾ
Սևրուկյան	s e v ɾ u ˈ k j ɑ n
Սետի Սիդադիշ	s e ˈ t i   s i d ɑ ˈ d i ʃ
սեր	s e ɾ
Սերայդարյան	s e ɾ ɑ j d ɑ ˈ ɾ j ɑ n
սերբ	s e ɾ b
սերբախորվաթերեն	s e ɾ b ɑ χ o ɾ v ɑ t ʰ e ˈ ɾ e n
սերբական	s e ɾ b ɑ ˈ k ɑ n
սերբերեն	s e ɾ b e ˈ ɾ e n
Սերբիա	ˈ s e ɾ b i ɑ
Սերբիա և Չեռնոգորիա	s e ɾ b i ˈ ɑ   j e v   t ͡ ʃ ʰ e r n o ɡ o ɾ i ˈ ɑ
Սերգեյ	s e ɾ ˈ ɡ e j
Սերգո	s e ɾ ˈ ɡ o
Սերժ	s e ɾ ʒ
սերժանտ	s e ɾ ˈ ʒ ɑ n t
սերկևիլ	s e ɾ k e ˈ v i l
սերկևիլենի	s e ɾ k e v i l e ˈ n i
սերմ	s e ɾ m
սերմնաբշտիկ	s e ɾ m n ɑ b ə ʃ ˈ t i k
սերմնաբջիջ	s e ɾ m n ɑ b ə ˈ d ͡ ʒ i d ͡ ʒ
սերմնաբուշտ	s e ɾ m n ɑ ˈ b u ʃ t
սերմնագռավ	s e ɾ m n ɑ ɡ ˈ r ɑ v
սերմնաժայթքում	s e ɾ m n ɑ ʒ ɑ j t ʰ ˈ k ʰ u m
սերմնածորան	s e ɾ m n ɑ t ͡ s o ˈ ɾ ɑ n
սերմնահեղուկ	s e ɾ m n ɑ h e ˈ ʁ u k
Սերյոժա	s e ɾ j o ˈ ʒ ɑ
Սերոբ	s e ˈ ɾ o p ʰ
Սերոբյան	s e ɾ o ˈ p ʰ j ɑ n
Սերոժ	s e ˈ ɾ o ʒ
սերտ	s e ɾ t
սերունդ	s e ˈ ɾ u n d
սերուցք	s e ˈ ɾ u t ͡ s ʰ k ʰ
սերֆինգ	ˈ s e ɾ f i n ɡ
սեփական	s e p ʰ ɑ ˈ k ɑ n
սեփականություն	s e p ʰ ɑ k ɑ n u ˈ t ʰ j u n
սեքս	s e k ʰ s
սեքսիզմ	s e k ʰ ˈ s i z m
սեֆերբերլիք	s e f e ɾ b e ɾ ˈ l i k ʰ
Սեֆիլյան	s e f i ˈ l j ɑ n
Սեֆյան	s e ˈ f j ɑ n
սզնի	s ə z ˈ n i
սթափ	s t ʰ ɑ p ʰ
սթափվել	s t ʰ ɑ p ʰ ˈ v e l
սթենդ	s t ʰ e n d
Սիբիր	s i ˈ b i ɾ
սիբիրախտ	s i b i ˈ ɾ ɑ χ t
սիբորգիում	s i ˈ b o ɾ ɡ i j u m
սիգ	s i ɡ
սիգա	s i ˈ ɡ ɑ
սիգալ	s i ˈ ɡ ɑ l
սիգար	s i ˈ ɡ ɑ ɾ
սիգարետ	s i ɡ ɑ ˈ ɾ e t
սիդի	s i ˈ d i
սիեստա	s i j e s ˈ t ɑ
սիլլա	s i l ˈ l ɑ
Սիլվա	s i l ˈ v ɑ
Սիկկիմ	s i k ˈ k i m
սիկղ	ˈ s i k ə ʁ
Սիկոկու	s i k o ˈ k u
Սիկտիվկար	s i k t i f ˈ k ɑ ɾ
սիկտիր	s i k ˈ t i ɾ
սիկտիր անել	s i k ˈ t i ɾ   ɑ ˈ n e l
սիկտիր ըլնել	s i k ˈ t i ɾ   ə l ˈ n e l
սիկտիրը քաշել	s i k ˈ t i ɾ ə   k ʰ ɑ ˈ ʃ e l
սիկտիրվել	s i k t i ɾ ˈ v e l
Սիմիթճյան	s i m i t ʰ ˈ t ͡ ʃ j ɑ n
Սիմոն	s i ˈ m o n
սիմոնական	s i m o n ɑ ˈ k ɑ n
սիմոնականություն	s i m o n ɑ k ɑ n u ˈ t ʰ j u n
Սիմոնիդես	s i m o n i ˈ d e s
Սիմոնյան	s i m o ˈ n j ɑ n
սիմվոլ	s i m ˈ v o l
սիմվոլիկ	s i m v o ˈ l i k
Սիմֆերոպոլ	s i m f e ɾ o ˈ p o l
սին	s i n
Սինգապուր	s i n ɡ ɑ ˈ p u ɾ
սինդհի	ˈ s i n d h i
սինլքոր	s i n l ə ˈ k ʰ o ɾ
սինհալերեն	s i n h ɑ l e ˈ ɾ e n
սինձ	s i n d ͡ z
Սիս	s i s
Սիսակ	s i ˈ s ɑ k
սիսեռ	s i ˈ s e r
Սիսիան	s i s i ˈ ɑ n
Սիսլյան	s i s ˈ l j ɑ n
սիստեմ	s i s ˈ t e m
սիտուացիա	s i t u ˈ ɑ t ͡ s ʰ i ɑ
սիրաբանել	s i ɾ ɑ b ɑ ˈ n e l
սիրալիր	s i ɾ ɑ ˈ l i ɾ
սիրած	s i ˈ ɾ ɑ t ͡ s
Սիրակուզա	s i ɾ ɑ k u ˈ z ɑ
Սիրակուսե	s i ɾ ɑ k u ˈ s e
սիրահար	s i ɾ ɑ ˈ h ɑ ɾ
սիրահարվել	s i ɾ ɑ h ɑ ɾ ˈ v e l
սիրամարգ	s i ɾ ɑ ˈ m ɑ ɾ ɡ
Սիրանույշ	s i ɾ ɑ ˈ n u j ʃ
սիրավեպ	s i ɾ ɑ ˈ v e p
սիրել	s i ˈ ɾ e l
սիրելի	s i ɾ e ˈ l i
սիրեկան	s i ɾ e ˈ k ɑ n
սիրեցի	s i ɾ e ˈ t ͡ s ʰ i
Սիրիա	ˈ s i ɾ i ɑ
սիրո	s i ˈ ɾ o
սիրող	s i ˈ ɾ o ʁ
սիրողական	s i ɾ o ʁ ɑ ˈ k ɑ n
սիրով	s i ˈ ɾ o v
սիրված	s i ɾ ˈ v ɑ t ͡ s
սիրվել	s i ɾ ˈ v e l
սիրտ	s i ɾ t
սիրտը խառնել	ˈ s i ɾ t ə   χ ɑ r ˈ n e l
սիրտը շարժել	ˈ s i ɾ t ə   ʃ ɑ ɾ ˈ ʒ e l
սիրտն	s i ɾ t n
սիրուհի	s i ɾ u ˈ h i
սիրում	s i ˈ ɾ u m
սիրուն	s i ˈ ɾ u n
Սիցիլիա	s i ˈ t ͡ s ʰ i l i ɑ
սիցիլիացի	s i t ͡ s ʰ i l i ɑ ˈ t ͡ s ʰ i
Սիփան	s i ˈ p ʰ ɑ n
սլայդ	s l ɑ j d
սլանալ	s ə l ɑ ˈ n ɑ l
սլավ	s ( ə ) ˈ l ɑ v
սլավական	s l ɑ v ɑ ˈ k ɑ n
սլավոն	s ( ə ) l ɑ ˈ v o n
սլավոնական	s l ɑ v o n ɑ ˈ k ɑ n
սլաք	s ə ˈ l ɑ k ʰ
սլկվել	s ə l k ə ˈ v e l
Սլոյան	s ə l o ˈ j ɑ n
սլովակերեն	s l o v ɑ k e ˈ ɾ e n
Սլովակիա	s l o ˈ v ɑ k i ɑ
սլովեներեն	s l o v e n e ˈ ɾ e n
Սլովենիա	s l o ˈ v e n i ɑ
սխալ	s ə ˈ χ ɑ l
սխալվել	s ə χ ɑ l ˈ v e l
սխտոր	s ə χ ˈ t o ɾ
սխրանք	s ə χ ˈ ɾ ɑ n k ʰ
սկա	s k ɑ
սկալդ	s k ɑ l d
սկահ	s k ɑ h
սկանդինավյան	s k ɑ n d i n ɑ ˈ v j ɑ n
Սկանդինավյան թերակղզի	s k ɑ n d i n ɑ ˈ v j ɑ n   t ʰ e ɾ ɑ k ə ʁ ˈ z i
սկաներ	s k ɑ ˈ n e ɾ
սկավառակ	s k ɑ v ɑ ˈ r ɑ k
սկեսար	s k e ˈ s ɑ ɾ
սկեսրայր	s k e s ˈ ɾ ɑ j ɾ
սկեսրար	s k e s ˈ ɾ ɑ ɾ
սկեսուր	s k e ˈ s u ɾ
սկզբնագիր	s k ə z b n ɑ ˈ ɡ i ɾ
սկզբնաղբյուր	s k ə z b n ɑ χ ˈ p j u ɾ
սկզբնատառ	s k ə z b n ɑ ˈ t ɑ r
սկզբունք	s k ə z ˈ b u n k ʰ
սկզբունքային	s k ə z b u n k ʰ ɑ ˈ j i n
սկզբունքայնություն	s k ə z b u n k ʰ ɑ j n u ˈ t ʰ j u n
սկիզբ	s k i z b
սկլերոզ	s k l e ˈ ɾ o z
սկյութ	s k j u t ʰ
սկյութերեն	s k j u t ʰ e ˈ ɾ e n
Սկյութիա	ˈ s k j u t ʰ i ɑ
սկյուռ	s k j u r
սկյուռիկ	s k j u ˈ r i k
Սկոպյե	ˈ s k o p j e
սկոռի	s k o ˈ r i
սկոտչ	s k o t t ͡ ʃ ʰ
սկսած	s k ə ˈ s ɑ t ͡ s
սկսել	s k ə ˈ s e l
սկսնակ	s k ə s ˈ n ɑ k
սկվազնյակ	s k v ɑ z ˈ n j ɑ k
սկումբրիա	s k u m b ɾ i ˈ ɑ
սկունդ	ə s ˈ k u n d
սկուտեղ	s k u ˈ t e ʁ
սղաճ	s ə ˈ ʁ ɑ t ͡ ʃ
Սղերդ	s ə ˈ ʁ e ɾ d
սղոց	s ə ˈ ʁ o t ͡ s ʰ
սղոցաձև	s ə ʁ o t ͡ s ʰ ɑ ˈ d ͡ z e v
սղոցել	s ə ʁ o ˈ t ͡ s ʰ e l
սմարթֆոն	s m ɑ ɾ t ʰ ˈ f o n
սմբակ	s ə m ˈ b ɑ k
Սմբատ	s ə m ˈ b ɑ t
Սմբատուհի	s ə m b ɑ t u ˈ h i
սմբուլ	s ə m ˈ b u l
սմբուկ	s ə m ˈ b u k
սմեգմա	s m e ɡ ˈ m ɑ
սմետան	s m e ˈ t ɑ n
ՍՄԿԿ	s ə m ə k ə ˈ k ə
սմոգ	s m o ɡ
Սմոլենսկ	s m o ˈ l e n s k
սյամ	s j ɑ m
սյավ	s j ɑ v
սյուն	s j u n
սյունակ	s j u ˈ n ɑ k
Սյունե	s j u ˈ n e
Սյունիք	s j u ˈ n i k ʰ
սյունյակ	s j u ˈ n j ɑ k
սյուք	s j u k ʰ
սնահավատ	s ə n ɑ h ɑ ˈ v ɑ t
սնահավատություն	s ə n ɑ h ɑ v ɑ t u ˈ t ʰ j u n
սնանկանալ	s ə n ɑ n k ɑ ˈ n ɑ l
սնանկացում	s ə n ɑ n k ɑ ˈ t ͡ s ʰ u m
սնգույր	s ə n ˈ ɡ u j ɾ
սնգուրել	s ə n ɡ u ˈ ɾ e l
սնգուրվել	s ə n ɡ u ɾ ˈ v e l
սնգուրում	s ə n ɡ u ˈ ɾ u m
սնդիկ	s ə n ˈ d i k
սնդուկ	s ə n ˈ d u k
սնկային	s ə n k ɑ ˈ j i n
սնկապուր	s ə n k ɑ ˈ p u ɾ
սնկասպան	s ə n k ɑ s ˈ p ɑ n
սննդադուլ	s ə n ə n d ɑ ˈ d u l
սննդակարգ	s ə n ə n d ɑ ˈ k ɑ ɾ k ʰ
սննդամթերք	s ə n ə n d ɑ m ə ˈ t ʰ e ɾ k ʰ
սննկանալ	s ə n ə n k ɑ ˈ n ɑ l
սնոտի	s ə n o ˈ t i
սնոտիք	s ə n o ˈ t i k ʰ
սնոուբորդ	s n o u ˈ b o ɾ d
սնուկեր	s n u ˈ k e ɾ
սնունդ	s ə ˈ n u n d
սնուցում	s ə n u ˈ t ͡ s ʰ u m
սոդոմականություն	s o d o m ɑ k ɑ n u ˈ t ʰ j u n
սոլախ	s o ˈ l ɑ χ
Սոլախյան	s o l ɑ ˈ χ j ɑ n
սոլիստ	s o ˈ l i s t
Սոլոն	s o ˈ l o n
սոխ	s o χ
սոխակ	s o ˈ χ ɑ k
սոխուկ	s o ˈ χ u k
Սոկրատես	s o k ɾ ɑ ˈ t e s
սողալ	s o ˈ ʁ ɑ l
սողանք	s o ˈ ʁ ɑ n k ʰ
սողդերեն	s o ʁ d e ˈ ɾ e n
Սողոմոն	s o ʁ o ˈ m o n
Սողոմոնյան	s o ʁ o m o ˈ n j ɑ n
սողուն	s o ˈ ʁ u n
սոճի	s o ˈ t ͡ ʃ i
Սոմալի	s o m ɑ ˈ l i
սոմալի	s o m ɑ ˈ l i
սոմելիե	s o m e l i ˈ e
Սոնա	s o ˈ n ɑ
սոնիճ	s o ˈ n i t ͡ ʃ
Սոչի	ˈ s o t ͡ ʃ ʰ i
սոջու	s o ˈ d ͡ ʒ u
Սոս	s o s
սոսափ	s o ˈ s ɑ p ʰ
սոսափյուն	s o s ɑ ˈ p ʰ j u n
սոսի	s o ˈ s i
սոսինձ	s o ˈ s i n d ͡ z
սոսիսկա	s o s i s ˈ k ɑ
սոսկ	s o s k
սոսկա	s o s ˈ k ɑ
սով	s o v
սովալլուկ	s o v ɑ l ˈ l u k
սոված	s o ˈ v ɑ t ͡ s
սովամահ	s o v ɑ ˈ m ɑ h
սովամահություն	s o v ɑ m ɑ h u ˈ t ʰ j u n
սովետական	s o v e t ɑ ˈ k ɑ n
Սովետական Միություն	s o v e t ɑ ˈ k ɑ n   m i u ˈ t ʰ j u n
սովետական սոցիալիստական հանրապետություն	s o v e t ɑ ˈ k ɑ n   s o t ͡ s ʰ i ɑ l i s t ɑ ˈ k ɑ n   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
Սովետական Սոցիալիստական Հանրապետությունների Միություն	s o v e t ɑ ˈ k ɑ n   s o t ͡ s ʰ i ɑ l i s t ɑ ˈ k ɑ n   h ɑ n ɾ ɑ p e t u t ʰ j u n n e ˈ ɾ i   m i u ˈ t ʰ j u n
սովոր	s o ˈ v o ɾ
սովորաբար	s o v o ɾ ɑ ˈ b ɑ ɾ
սովորական	s o v o ɾ ɑ ˈ k ɑ n
սովորել	s o v o ˈ ɾ e l
սովորեցնել	s o v o ɾ e t ͡ s ʰ ˈ n e l
սովորություն	s o v o ɾ u ˈ t ʰ j u n
սովորույթ	s o v o ˈ ɾ u j t ʰ
սոր	s o ɾ
սորալ	s o ˈ ɾ ɑ l
Սորբոն	s o ɾ ˈ b o n
սորգո	s o ɾ ˈ ɡ o
սորել	s o ˈ ɾ e l
Սորոս	s o ˈ ɾ o s
սորոսական	s o ɾ o s ɑ ˈ k ɑ n
սոցիալական	s o t ͡ s ʰ i ɑ l ɑ ˈ k ɑ n
սոցիալական ցանց	s o t ͡ s ʰ i ɑ l ɑ ˈ k ɑ n   t ͡ s ʰ ɑ n t ͡ s ʰ
սոցիալիզմ	s o t ͡ s ʰ i ɑ ˈ l i z m
սոցիալիստական	s o t ͡ s ʰ i ɑ l i s t ɑ ˈ k ɑ n
սոցիոլոգ	s o t ͡ s ʰ j o ˈ l o ɡ
սոցիոլոգիա	s o t ͡ s ʰ j o l o ɡ i ˈ ɑ
սոցցանց	s o t ͡ s ʰ ˈ t ͡ s ʰ ɑ n t ͡ s ʰ
սոուլ	ˈ s o u l
սոուս	ˈ s o u s
Սոփոկլես	s o p ʰ o k ˈ l e s
Սոֆիա	s o ˈ f i ɑ
Սոֆոկլես	s o f o k ˈ l e s
սպա	s p ɑ
սպագետի	s p ɑ ɡ e ˈ t i
սպալնյա	s p ɑ l ˈ n j ɑ
Սպահան	s p ɑ ˈ h ɑ n
սպամ	s p ɑ m
սպանախ	s p ɑ ˈ n ɑ χ
սպանդ	s p ɑ n d
սպանդանոց	s p ɑ n d ɑ ˈ n o t ͡ s ʰ
սպանել	s p ɑ ˈ n e l
Սպանիա	s p ɑ n i ˈ ɑ
սպանվել	s p ɑ n ˈ v e l
սպանություն	s p ɑ n u ˈ t ʰ j u n
սպանուհի	s p ɑ n u ˈ h i
սպառազինության	s p ɑ r ɑ z i n u ˈ t ʰ j ɑ n
սպառազինության մրցավազք	s p ɑ r ɑ z i n u ˈ t ʰ j ɑ n   m ə ɾ t ͡ s ʰ ɑ ˈ v ɑ z k ʰ
սպառազինություն	s p ɑ r ɑ z i n u ˈ t ʰ j u n
սպառազինությունների	s p ɑ r ɑ z i n u t ʰ j u n n e ˈ ɾ i
սպառազինությունների մրցավազք	s p ɑ r ɑ z i n u t ʰ j u n n e ˈ ɾ i   m ə ɾ t ͡ s ʰ ɑ ˈ v ɑ z k ʰ
սպառնալ	s p ɑ r ˈ n ɑ l
սպառնալիք	s p ɑ r n ɑ ˈ l i k ʰ
սպառող	s p ɑ ˈ r o ʁ
սպառվել	s p ɑ r ˈ v e l
սպաս	s ə ˈ p ɑ s
սպասասրահ	s p ɑ s ɑ s ə ˈ ɾ ɑ h
սպասավոր	s p ɑ s ɑ ˈ v o ɾ
սպասարկել	s p ɑ s ɑ ɾ ˈ k e l
սպասարկիչ	s p ɑ s ɑ ɾ ˈ k i t ͡ ʃ ʰ
սպասարկում	s p ɑ s ɑ ɾ ˈ k u m
սպասել	s p ɑ ˈ s e l
սպասյակ	s p ɑ ˈ s j ɑ k
սպասվել	s p ɑ s ˈ v e l
սպասք	s p ɑ s k ʰ
սպարապետ	s p ɑ ɾ ɑ ˈ p e t
սպերմա	ˈ s p e ɾ m ɑ
սպերմատոզոիդ	s p e ɾ m ɑ t o z o ˈ j i d
Սպերցյան	s p e ɾ ˈ t ͡ s ʰ j ɑ n
սպեցնազ	s p e t ͡ s ʰ ˈ n ɑ z
ՍՊԸ	s ə p ə ˈ ə
սպի	s p i
սպիդոմետր	s p i d o ˈ m e t ə ɾ
սպիտակ	s p i ˈ t ɑ k
սպիտակ արջ	s p i ˈ t ɑ k   ɑ ɾ t ͡ ʃ ʰ
սպիտակ աքիս	s p i ˈ t ɑ k   ɑ ˈ k ʰ i s
սպիտակ թուրք	s p i ˈ t ɑ k   t ʰ u ɾ k ʰ
Սպիտակ ծով	s p i ˈ t ɑ k   t ͡ s o v
Սպիտակաձյունիկ	s p i t ɑ k ɑ d ͡ z j u ˈ n i k
սպիտակամորթ	s p i t ɑ k ɑ ˈ m o ɾ t ʰ
սպիտակավուն	s p i t ɑ k ɑ ˈ v u n
սպիտակուց	s p i t ɑ ˈ k u t ͡ s ʰ
սպիրտ	s p i ɾ t
սպորտ	s p o ɾ t
սպրդել	s ə p ə ɾ ˈ d e l
սպրիչ	s p ɾ i t ͡ ʃ ʰ
սպունգ	s p u n ɡ
սպուտնիկ	s p u t ˈ n i k
սսկվել	s ə s k ˈ v e l
ՍՍՀ	s ə s ə ˈ h ə
ՍՍՀՄ	s ə s ə ˈ h ə m
Սվազիլենդ	s v ɑ z i ˈ l e n d
սվահիլի	s v ɑ ˈ h i l i
սվաստիկա	s v ɑ s t i ˈ k ɑ
Սվերդլովսկ	s v ə ɾ d ˈ l o f s k
սվին	s ə ˈ v i n
սվիտեր	s v i ˈ t e ɾ
սվորիկ	s ə v o ˈ ɾ i k
ստադիոն	s t ɑ d i ˈ o n
Ստալին	ˈ s t ɑ l i n
Ստալինգրադ	s t ɑ l i n ˈ ɡ ˈ ɾ ɑ d
ստալինիզմ	s t ɑ l i ˈ n i z m
ստախոս	s ə t ɑ ˈ χ o s
ստակ	s t ɑ k
ստամբակ	s t ɑ m ˈ b ɑ k
ստամբակել	s t ɑ m b ɑ ˈ k e l
ստամբակություն	s t ɑ m b ɑ k u ˈ t ʰ j u n
Ստամբուլ	s t ɑ m ˈ b u l
ստամոքս	s t ɑ ˈ m o k ʰ s
-ստան	s t ɑ n
ստանալ	s t ɑ ˈ n ɑ l
ստանդարտ	s t ɑ n ˈ d ɑ ɾ t
ստանձնել	ə s t ɑ n d ͡ z ə ˈ n e l
ստանցի	s t ɑ n ˈ t ͡ s ʰ i
Ստավրոպոլ	s t ɑ v ɾ o ˈ p o l
ստատիստիկա	s t ɑ ˈ t i s t i k ɑ
ստատուս	s t ɑ ˈ t u s
ստարտափ	s t ɑ ɾ ˈ t ɑ p ʰ
ստացական հոդ	s t ɑ t ͡ s ʰ ɑ ˈ k ɑ n   h o d
ստացող	s t ɑ ˈ t ͡ s ʰ o ʁ
ստել	s ə ˈ t e l
ստեխիոմետրիա	s t e χ i o ˈ m e t ɾ i ɑ
ստեղծագործ	s t e χ t ͡ s ɑ ˈ ɡ o ɾ t ͡ s
ստեղծագործական	s t e χ t ͡ s ɑ ɡ o ɾ t ͡ s ɑ ˈ k ɑ n
ստեղծագործություն	s t e χ t ͡ s ɑ ɡ o ɾ t ͡ s u ˈ t ʰ j u n
ստեղծել	s t e χ ˈ t ͡ s e l
ստեղծիչ	s t e χ ˈ t ͡ s i t ͡ ʃ ʰ
ստեղծում	s t e χ ˈ t ͡ s u m
ստեղն	ˈ s t e ʁ ə n
ստեղնաշար	s t e ʁ n ɑ ˈ ʃ ɑ ɾ
ստենդ	s t e n d
ստենտ	s t e n t
ստեպ	s t e p
ստեպղին	s t e p ˈ ʁ i n
Ստեսիքորոս	s t e s i k ʰ o ˈ ɾ o s
ստերլետ	s t e ɾ ˈ l e t
ստերջ	s t e ɾ d ͡ ʒ
Ստեփան	s t e ˈ p ʰ ɑ n
Ստեփանակերտ	s t e p ʰ ɑ n ɑ ˈ k e ɾ t
